item_id,title,raiting,description,price,href
p356240535, Ноутбук Acer Nitro 5 AN515-57-54LP (NH.QEWEU.00U) Shale Black, 3 відгуки ,"Экран 15.6” IPS (1920x1080) Full HD 144 Гц, матовый / Intel Core i5-11400H (2.7 - 4.5 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060, 6 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / черный",47999,https://rozetka.com.ua/ua/acer-nhqeweu00u/p356240535/
p358169208, Ноутбук ASUS Laptop M515DA-BQ1660 (90NB0T41-M00M50) Slate Grey / AMD Ryzen 3 3250U / RAM 8 ГБ / SSD 512 ГБ, залишити відгук ,"Экран 15.6"" IPS (1920x1080) Full HD, матовый / AMD Ryzen 3 3250U (2.6 - 3.5 ГГц) / RAM 8 ГБ / SSD 512 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / серый",19999,https://rozetka.com.ua/ua/asus-90nb0t41-m00m50/p358169208/
p351780615, Ноутбук Asus ROG Strix G15 G513IC-HN004 (90NR0502-M003L0) Eclipse Gray / AMD Ryzen 7 4800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 27 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / AMD Ryzen 7 4800H (2.9 - 4.2 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / без ОС / 2.1 кг / сірий",39999,https://rozetka.com.ua/ua/asus-90nr0502-m003l0/p351780615/
p352335126, Ноутбук Lenovo IdeaPad L3 15ITL6 (82HL00HCRA) Platinum Grey, 6 відгуків ,"Екран 15.6"" TN (1920x1080) Full HD, матовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 8 ГБ / SSD 512 ГБ / Intel UHD Graphics / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.2 кг / сірий",19999,https://rozetka.com.ua/ua/lenovo-82hl00hcra/p352335126/
p339014731, Ноутбук Acer Aspire 7 A715-42G-R5B1 (NH.QE5EU.00M) Charcoal Black, 14 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.15 кг / чорний",34999,https://rozetka.com.ua/ua/acer-nhqe5eu00m/p339014731/
p351264234, Ноутбук Lenovo IdeaPad Gaming 3 15IAH7 (82S900UHRA) Onyx Grey, 10 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 120 Гц, матовий / Intel Core i5-12450H (3.3 - 4.4 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / темно-сірий",42999,https://rozetka.com.ua/ua/lenovo-82s900uhra/p351264234/
p350001612, Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K201NXRA) Shadow Black, 8 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 120 Гц, матовий / AMD Ryzen 7 5800H (3.2 - 4.4 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.25 кг / чорний",43999,https://rozetka.com.ua/ua/lenovo-82k201nxra/p350001612/
p348280464, Ноутбук ASUS Laptop X515JA-EJ4076 (90NB0SR2-M02RJ0) Transparent Silver / Intel Core i5-1035G1 / RAM 8 ГБ / SSD 256 ГБ, 5 відгуків ,"Екран 15.6"" (1920x1080) Full HD, матовий / Intel Core i5-1035G1 (1.0 - 3.6 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / срібний",22999,https://rozetka.com.ua/ua/asus-90nb0sr2-m02rj0/p348280464/
p361193046, Ноутбук ASUS Vivobook Pro 15 M6500QH-HN034 (90NB0YJ1-M003M0) Quiet Blue / AMD Ryzen 5 5600H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650, залишити відгук ,"Экран 15.6"" IPS (1920x1080) Full HD 144 Гц, глянцевый / AMD Ryzen 5 5600H (3.3 - 4.2 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650, 4 ГБ / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / синий",32999,https://rozetka.com.ua/ua/asus-90nb0yj1-m003m0/p361193046/
p360279618, Ноутбук ASUS Vivobook Pro 15 M6500QH-HN075 (90NB0YJ2-M003R0) Cool Silver / AMD Ryzen 5 5600H / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650, залишити відгук ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, глянсовий / AMD Ryzen 5 5600H (3.3 - 4.2 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650, 4 ГБ / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / срібний",32999,https://rozetka.com.ua/ua/asus-90nb0yj2-m003r0/p360279618/
p352286433, Ноутбук Lenovo IdeaPad 3 15IAU7 (82RK00FHRA) Arctic Grey, 10 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / Intel Core i5-1235U (3.3 - 4.4 ГГц) / RAM 16 ГБ / SSD 512 ГБ / Intel Iris Xe Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.63 кг / сірий",29999,https://rozetka.com.ua/ua/lenovo-82rk00fhra/p352286433/
p349990281, Ноутбук Lenovo IdeaPad 1 15IAU7 (82QD004ARA) Cloud Grey, 6 відгуків ,"Екран 15.6"" TN (1920x1080) Full HD, матовий / Intel Core i5-1235U (3.3 - 4.4 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel Iris Xe Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.63 кг / сірий",24999,https://rozetka.com.ua/ua/lenovo-82qd004ara/p349990281/
p358208829, Ноутбук ASUS Vivobook 16X M1603IA-MB079 (90NB0Y41-M003M0) Quiet Blue / AMD Ryzen 5 4600H / RAM 12 ГБ / SSD 512 ГБ, 4 відгуки ,"Экран 16"" IPS (1920x1200) WUXGA+, матовый / AMD Ryzen 5 4600H (3.0 - 4.0 ГГц) / RAM 12 ГБ / SSD 512 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.88 кг / синий",25999,https://rozetka.com.ua/ua/asus-90nb0y41-m003m0/p358208829/
p354933153, Ноутбук Acer Aspire 7 A715-42G-R7BK (NH.QE5EU.00L) Charcoal Black, 12 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / AMD Ryzen 7 5700U (1.8 - 4.3 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.15 кг / чорний",40999,https://rozetka.com.ua/ua/acer-nhqe5eu00l/p354933153/
p351266145, Ноутбук Lenovo IdeaPad Gaming 3 15IAH7 (82S900UGRA) Onyx Grey, 10 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 120 Гц, матовий / Intel Core i5-12450H (3.3 - 4.4 ГГц) / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 3050, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / темно-сірий",42999,https://rozetka.com.ua/ua/lenovo-82s900ugra/p351266145/
p354203376, Ноутбук Acer Aspire 3 A315-58G-548E (NX.ADUEU.01N) Pure Silver, 1 відгук ,"Екран 15.6” IPS (1920x1080) Full HD, матовий / Intel Core i5-1135G7 (2.4 - 4.2 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce MX350, 2 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.7 кг / срібний",24999,https://rozetka.com.ua/ua/acer-nxadueu01n/p354203376/
p358162998, Ноутбук ASUS Laptop X515EA-BQ3231 (90NB0TY2-M035B0) Transparent Silver / Intel Core i3-1115G4 / RAM 12 ГБ / SSD 512 ГБ, 4 відгуки ,"Экран 15.6"" IPS (1920x1080) Full HD, матовый / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 12 ГБ / SSD 512 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / серебристый",20999,https://rozetka.com.ua/ua/asus-90nb0ty2-m035b0/p358162998/
p346611087, Ноутбук ASUS Laptop X515JA-EJ1814 (90NB0SR3-M34690) Peacock Blue / Intel Pentium Gold 6805 / RAM 8 ГБ / SSD 256 ГБ, 88 відгуків ,"Екран 15.6"" (1920x1080) Full HD, матовий / Intel Pentium Gold 6805 (1.1 - 3.0 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / синій",17999,https://rozetka.com.ua/ua/asus-90nb0sr3-m34690/p346611087/
